"","exposure","outcome","HL","HLsubsex","HLsubcontinent","HLsubfu","HLegger","DRlin","DRlinsubsex","DRlinsubcontinent","DRlinsubfu","DRlinegger","DRnonlin"
"1","Butter","fatal and non-fatal CHD","x","x","x","","x","x","x","x","","x",""
"2","Butter","fatal and non-fatal ischemic stroke","","","","","","x","x","x","","",""
"3","Cheese","fatal and non-fatal CHD","x","x","x","","x","x","x","x","","x","x"
"4","Cheese","fatal and non-fatal ischemic stroke","x","x","x","","x","x","x","x","","x","x"
"5","Cheese for butter","fatal and non-fatal ischemic stroke","","","","","","x","","","","",""
"6","Cheese for high-fat milk","fatal and non-fatal ischemic stroke","","","","","","x","","","","",""
"7","Cheese for high-fat yogurt products","fatal and non-fatal ischemic stroke","","","","","","x","","","","",""
"8","Cheese for low-fat milk","fatal and non-fatal ischemic stroke","","","","","","x","","","","",""
"9","Cheese for low-fat yogurt products","fatal and non-fatal ischemic stroke","","","","","","x","","","","",""
"10","High-fat cheese","fatal and non-fatal CHD","x","","","","","","","","","",""
"11","High-fat milk","fatal and non-fatal CHD","x","x","x","","x","x","x","x","","x","x"
"12","High-fat milk","fatal and non-fatal ischemic stroke","","","","","","","","","","",""
"13","High-fat milk for butter","fatal and non-fatal ischemic stroke","","","","","","","","","","",""
"14","High-fat yogurt products","fatal and non-fatal CHD","x","","","","","","","","","",""
"15","High-fat yogurt products for butter","fatal and non-fatal ischemic stroke","","","","","","","","","","",""
"16","High-fat yogurt products for high-fat milk","fatal and non-fatal ischemic stroke","","","","","","x","","","","",""
"17","High-fat yogurt products for low-fat milk","fatal and non-fatal ischemic stroke","","","","","","x","","","","",""
"18","Low-fat cheese","fatal and non-fatal CHD","x","x","x","","x","x","x","x","","",""
"19","Low-fat milk","fatal and non-fatal CHD","x","x","x","","x","x","x","x","","x","x"
"20","Low-fat milk","fatal and non-fatal ischemic stroke","","","","","","","","","","",""
"21","Low-fat milk for butter","fatal and non-fatal ischemic stroke","","","","","","","","","","",""
"22","Low-fat milk for high-fat milk","fatal and non-fatal ischemic stroke","","","","","","x","","","","",""
"23","Low-fat yogurt products","fatal and non-fatal CHD","x","","","","","","","","","",""
"24","Low-fat yogurt products for butter","fatal and non-fatal ischemic stroke","","","","","","","","","","",""
"25","Low-fat yogurt products for high-fat milk","fatal and non-fatal ischemic stroke","","","","","","x","","","","",""
"26","Low-fat yogurt products for high-fat yogurt products","fatal and non-fatal ischemic stroke","","","","","","x","","","","",""
"27","Low-fat yogurt products for low-fat milk","fatal and non-fatal ischemic stroke","","","","","","x","","","","",""
"28","Milk","fatal and non-fatal CHD","x","x","","","x","x","x","","","x","x"
"29","Milk","fatal and non-fatal ischemic stroke","x","x","x","","x","x","x","x","","x","x"
"30","Yogurt products","fatal and non-fatal CHD","x","x","x","","x","x","x","x","","x","x"
"31","Yogurt products","fatal and non-fatal ischemic stroke","x","x","x","","x","x","","x","","",""
